latitudeRange	longitudeRange	timePeriod	speciescount	bincount	occurrenceount	item_001	item_002	item_003	item_004	item_005	item_006	item_007	item_008	item_009	item_010	item_011	item_012	item_013	item_014	item_015	item_016	item_017	item_018	item_019	item_020	item_021	item_022	item_023	item_024	item_025	item_026	item_027	item_028	item_029	item_030	item_031	item_032	item_033	item_034	item_035	item_036	item_037	item_038	item_039	item_040	item_041	item_042	item_043	item_044	item_045	item_046	item_047	item_048	item_049	item_050	item_051	item_052	item_053	item_054	item_055	item_056	item_057	item_058	item_059	item_060	item_061	item_062	item_063	item_064	item_065	item_066	item_067	item_068	item_069	item_070	item_071	item_072	item_073	item_074	item_075	item_076	item_077	item_078	item_079	item_080	item_081	item_082	item_083	item_084	item_085	item_086	item_087	item_088	item_089	item_090	item_091	item_092	item_093	item_094	item_095	item_096	item_097	item_098	item_099	item_100	item_101	item_102	item_103	item_104	item_105	item_106	item_107	item_108	item_109	item_110	item_111	item_112	item_113	item_114	item_115
-44.0,-43.0	+147.0,+148.0	1500-1899	3	3	3	Acacia gunnii Benth. [ 1 / 1 ]	Acacia stricta (Andrews) Willd. [ 1 / 1 ]	Acacia suaveolens (Sm.) Willd. [ 1 / 1 ]
-44.0,-43.0	+147.0,+148.0	1900-1969	14	61	105	Acacia verticillata [ 13 / 19 ]	Acacia myrtifolia (Sm.) Willd. [ 7 / 15 ]	Acacia suaveolens (Sm.) Willd. [ 7 / 12 ]	Acacia genistifolia Link [ 6 / 7 ]	Acacia gunnii Benth. [ 6 / 12 ]	Acacia riceana Hensl. [ 6 / 11 ]	Acacia mucronata Willd. ex H.L.Wendl. [ 5 / 5 ]	Acacia longifolia (Andrews) Willd. [ 3 / 6 ]	Acacia dealbata Link [ 2 / 5 ]	Acacia leprosa Sieber ex DC. [ 2 / 5 ]	Acacia mearnsii De Wild. [ 1 / 2 ]	Acacia melanoxylon R.Br. [ 1 / 3 ]	Acacia stricta (Andrews) Willd. [ 1 / 1 ]	Acacia terminalis (Salisb.) J.F.Macbr. [ 1 / 2 ]
-44.0,-43.0	+147.0,+148.0	1970-1999	13	87	130	Acacia riceana Hensl. [ 23 / 24 ]	Acacia suaveolens (Sm.) Willd. [ 12 / 19 ]	Acacia verticillata [ 12 / 16 ]	Acacia myrtifolia (Sm.) Willd. [ 11 / 24 ]	Acacia genistifolia Link [ 10 / 16 ]	Acacia longifolia (Andrews) Willd. [ 4 / 6 ]	Acacia melanoxylon R.Br. [ 4 / 6 ]	Acacia terminalis (Salisb.) J.F.Macbr. [ 4 / 4 ]	Acacia dealbata Link [ 2 / 3 ]	Acacia leprosa Sieber ex DC. [ 2 / 6 ]	Acacia gunnii Benth. [ 1 / 1 ]	Acacia retinodes Schltdl. [ 1 / 1 ]	Acacia stricta (Andrews) Willd. [ 1 / 4 ]
-44.0,-43.0	+147.0,+148.0	2000-2017	21	46	68	Acacia verticillata [ 6 / 8 ]	Acacia dealbata Link [ 4 / 6 ]	Acacia genistifolia Link [ 4 / 5 ]	Acacia melanoxylon R.Br. [ 3 / 3 ]	Acacia riceana Hensl. [ 3 / 6 ]	Acacia suaveolens (Sm.) Willd. [ 3 / 4 ]	Acacia baileyana F.Muell. [ 2 / 2 ]	Acacia gunnii Benth. [ 2 / 2 ]	Acacia longifolia (Andrews) Willd. [ 2 / 4 ]	Acacia myrtifolia (Sm.) Willd. [ 2 / 6 ]	Acacia pravissima F.Muell. [ 2 / 3 ]	Acacia provincialis A.Camus [ 2 / 2 ]	Acacia retinodes Schltdl. [ 2 / 2 ]	Acacia ulicifolia (Salisb.) Court [ 2 / 2 ]	Acacia boormanii Maiden [ 1 / 1 ]	Acacia mearnsii De Wild. [ 1 / 1 ]	Acacia melanoxylon R.Br. ex W.T.Aiton [ 1 / 1 ]	Acacia pycnantha Benth. [ 1 / 3 ]	Acacia stricta (Andrews) Willd. [ 1 / 1 ]	Acacia terminalis (Salisb.) J.F.Macbr. [ 1 / 4 ]	Acacia uncifolia (J.M.Black) O'Leary [ 1 / 2 ]
-44.0,-43.0	+148.0,+149.0	1970-1999	2	3	5	Acacia verticillata [ 2 / 2 ]	Acacia genistifolia Link [ 1 / 3 ]
-44.0,-43.0	+148.0,+149.0	2000-2017	2	3	4	Acacia verticillata [ 2 / 2 ]	Acacia melanoxylon R.Br. [ 1 / 2 ]
-44.0,-43.0	+171.0,+172.0	2000-2017	1	1	1	Acacia dealbata Link [ 1 / 1 ]
-44.0,-43.0	+172.0,+173.0	UNSPECIFIED	2	2	6	Acacia floribunda (Vent.) Willd. [ 1 / 2 ]	Acacia pravissima F.Muell. [ 1 / 4 ]
-44.0,-43.0	+172.0,+173.0	1900-1969	2	2	2	Acacia dealbata Link [ 1 / 1 ]	Acacia melanoxylon R.Br. [ 1 / 1 ]
-44.0,-43.0	+172.0,+173.0	1970-1999	7	13	15	Acacia mearnsii De Wild. [ 3 / 3 ]	Acacia melanoxylon R.Br. [ 3 / 3 ]	Acacia floribunda (Vent.) Willd. [ 2 / 4 ]	Acacia verticillata [ 2 / 2 ]	Acacia dealbata Link [ 1 / 1 ]	Acacia paradoxa DC. [ 1 / 1 ]	Acacia prominens A.Cunn. ex G.Don [ 1 / 1 ]
-44.0,-43.0	+172.0,+173.0	2000-2017	7	31	36	Acacia dealbata Link [ 11 / 11 ]	Acacia melanoxylon R.Br. [ 6 / 6 ]	Acacia pravissima F.Muell. [ 6 / 10 ]	Acacia baileyana F.Muell. [ 3 / 3 ]	Acacia longifolia (Andrews) Willd. [ 2 / 2 ]	Acacia mearnsii De Wild. [ 2 / 2 ]	Acacia decurrens Willd. [ 1 / 2 ]
-44.0,-43.0	+173.0,+174.0	2000-2017	1	1	1	Acacia pravissima F.Muell. [ 1 / 1 ]
-44.0,-43.0	+176.0,+177.0	2000-2017	1	1	1	Acacia longifolia (Andrews) Willd. [ 1 / 1 ]
-43.0,-42.0	+145.0,+146.0	UNSPECIFIED	4	6	12	Acacia mucronata Willd. ex H.L.Wendl. [ 3 / 9 ]	Acacia longifolia (Andrews) Willd. [ 1 / 1 ]	Acacia ulicifolia (Salisb.) Court [ 1 / 1 ]	Acacia verticillata [ 1 / 1 ]
-43.0,-42.0	+145.0,+146.0	1500-1899	1	1	1	Acacia mucronata Willd. ex H.L.Wendl. [ 1 / 1 ]
-43.0,-42.0	+145.0,+146.0	1900-1969	6	15	16	Acacia mucronata Willd. ex H.L.Wendl. [ 6 / 6 ]	Acacia dealbata Link [ 3 / 3 ]	Acacia verticillata [ 3 / 3 ]	Acacia melanoxylon R.Br. [ 1 / 2 ]	Acacia rubida A.Cunn. [ 1 / 1 ]	Acacia suaveolens (Sm.) Willd. [ 1 / 1 ]
-43.0,-42.0	+145.0,+146.0	1970-1999	7	39	60	Acacia verticillata [ 18 / 26 ]	Acacia mucronata Willd. ex H.L.Wendl. [ 9 / 12 ]	Acacia longifolia (Andrews) Willd. [ 3 / 7 ]	Acacia melanoxylon R.Br. [ 3 / 6 ]	Acacia browniana H.L.Wendl. [ 2 / 4 ]	Acacia dealbata Link [ 2 / 3 ]	Acacia myrtifolia (Sm.) Willd. [ 2 / 2 ]
-43.0,-42.0	+145.0,+146.0	2000-2017	5	10	23	Acacia mucronata Willd. ex H.L.Wendl. [ 4 / 11 ]	Acacia dealbata Link [ 2 / 6 ]	Acacia verticillata [ 2 / 3 ]	Acacia longifolia (Andrews) Willd. [ 1 / 1 ]	Acacia melanoxylon R.Br. [ 1 / 2 ]
-43.0,-42.0	+146.0,+147.0	UNSPECIFIED	9	16	22	Acacia mucronata Willd. ex H.L.Wendl. [ 7 / 9 ]	Acacia axillaris Benth. [ 2 / 3 ]	Acacia dealbata Link [ 1 / 1 ]	Acacia derwentiana A.M.Gray [ 1 / 1 ]	Acacia gunnii Benth. [ 1 / 1 ]	Acacia leprosa Sieber ex DC. [ 1 / 1 ]	Acacia melanoxylon R.Br. [ 1 / 4 ]	Acacia riceana Hensl. [ 1 / 1 ]	Acacia siculiformis A.Cunn. ex Benth. [ 1 / 1 ]
-43.0,-42.0	+146.0,+147.0	1500-1899	9	12	15	Acacia dealbata Link [ 2 / 2 ]	Acacia mucronata Willd. ex H.L.Wendl. [ 2 / 2 ]	Acacia riceana Hensl. [ 2 / 4 ]	Acacia derwentiana A.M.Gray [ 1 / 1 ]	Acacia gunnii Benth. [ 1 / 1 ]	Acacia melanoxylon R.Br. [ 1 / 2 ]	Acacia stricta (Andrews) Willd. [ 1 / 1 ]	Acacia terminalis (Salisb.) J.F.Macbr. [ 1 / 1 ]	Acacia verticillata [ 1 / 1 ]
